street,number,zip,city,latitude,longitude
Schildstraße,12,28203,Bremen,53.071937,8.822429
Heinrich-Meibom-Straße,,23562,Lübeck,53.83618995,10.70539475
Roggenweg,1,22926,Ahrensburg,53.6786142,10.2566332
Hauptstraße,2–12,25497,Prisdorf,53.672332,9.775416
Alleestraße,2,66292,Riegelsberg,49.3086795,6.9381836
Rungholtstraße,1,25746,Heid,54.202154,9.100204
Bleicherstraße,47–57,28203,Bremen,53.07082275,8.81873955
Im Neuenheimer Feld,440,69120,Heidelberg,49.41672,8.663043
Darmstädter Straße ,111,64846,Groß-Zimmern,49.871435,8.81149
Im Neuenheimer Feld,440,69120,Heidelberg,49.41672,8.663043
Schulstraße,13,24817,Tetenhusen,54.3507423,9.4988977
Buchenweg,4,6188,Landsberg ,51.477795,12.128004
Rußdorfer Straße,10,9212,Limbach-Oberfrohna,50.8625412,12.7367163
Lindenstraße,23,9212,Limbach-Oberfrohna,50.8611606,12.7553661
Kirchweg,30,24558,Henstedt-Ulzburg,53.794135,9.9798075
Raiffeisenstraße ,8,85298,Scheyern,48.500246,11.456134
Nittenauerstraße ,1,92449,Steinberg,49.276808,12.181304
Dieselstraße,1,24223,Schwentinental,54.2866277,10.2266831
An der Schule,1,25594,Vaale,54.001606,9.37482
An der Schule,1,2559,Nutteln,54.001606,9.37482
Lornsenstraße,148A,22869,Schenefeld,53.61116,9.84046
Jahnstraße,16,25348,Glückstadt,53.79891192,9.422791291
Klosterbergenstraße ,1b,21465,Reinbek,53.512263,10.249817
Elbingstraße,15,23569,Lübeck,53.924854,10.821263
Kiebitzweg,22,22869,Schenefeld,53.604284,9.836477
Am Fliegerhorst,17,99947,Bad Langensalza ,51.124259,10.629524
Illebener Weg,11b,99947,Bad Langensalza ,51.102611,10.65353
Fritz-Staiger-Straße,15,25541,Brunsbüttel,53.9143233,9.1624476
Illebener Weg ,11b,99947,Bad Langensalza ,51.102611,10.65353
Tirolerstraße,,83242,Reit i,47.67026917,12.45441685
Willy-Brandt-Straße,37,63450,Hanau,50.12687,8.92838
Sebastian-Pöttinger-Weg,5A,85521,Ottobrunn,48.0672648,11.6555975
Julianenburger Straße,9,26603,Aurich,53.4656366,7.4779988
Am Stadion,20,26607,Aurich,53.5183284,7.4719502
Stürenburgweg,44,26607,Aurich,53.5233958,7.4786012
Fasanenweg ,3,2746,Kellenhusen ,54.194958,11.059386
Suchskrug,1-Mar,24107,Kiel,54.347,10.094188
Rathausplatz,1,79574,Weil am Rhein,47.593552,7.611947
Luisenstraße,6,79539,Lörrach,47.615828,7.662803
Belchenstrasse,19,79539,Lörrach,47.613197,7.66545
Brombacher Straße 2 79539 Lörrach,2,79539,Lörrach,47.614814,7.666721
Alfred Ley Straße ,12,99310,Arnstadt,50.855711,10.95549
An der Schanz,3,50735,Köln,50.96433,6.98377
Zum Schöttelbach,19,37181,Hardegsen,51.6421,9.8268001
Sankt-Floriansweg,1,2979,"Elsterheide, OT Nardt",51.450863,14.187754
Großbüchlberger Straße,2,95666,Mitterteich,49.95023,12.24102
Am Kamp,23,23730,Schashagen,54.2195623,10.8766662
Südstrand,9,25761,Büsum,54.12809,8.85707
Würzburger Straße,19,90427,Nürnberg,49.5214209,11.0234038
Herboldshofer Straße,27,90427,Nürnberg,49.5169974,11.0198509
Glückaufstr.,14,83666,Waakirchen,47.771074,11.68382
Karl-Königsdorfer-Straße,36A,89335,Ichenhausen,48.3665026,10.3149032
Dorfstraße,78C,6542,Nienstedt,51.43571,11.39467
Flensburger Straße,82,24376,Kappeln,54.6659037,9.9123059
A3,,63512,Hainburg,50.05537763,8.909852834
Alte Römerstraße,7,41363,Jüchen,51.1000977,6.4574216
Ortolfstraße,158,12524,Berlin,52.40533,13.5312
Endertplatz,1,56812,Cochem,50.14754,7.166841003
Pauluseck,8,66564,Ottweiler,49.40353,7.16171
Ottenser Hauptstraße,30,22765,Hamburg,53.5521444,9.929466
Gulbranssonstraße,43,81477,München,48.08188,11.50511
Schulstraße,3,25492,Heist,53.6543482,9.657550596
Fünfhausen,3,23611,Bad Schwartau ,53.9211215,10.690847
Hengebachstr,14,52396,Heimbach,50.633643,6.477942003
Schlossstrasse,2,23701,Eutin,54.137527,10.616916
Dorfstraße ,13,25719,Barlt,54.014944,9.058272004
Plettenberger Str,6,58849,Herscheid,51.17363,7.7450596
Mühlenweg,,12529,Schönefeld,52.3723857,13.476086
Auf den Strengen,10,27619,Schiffdorf,53.53532691,8.659483999
Auf der Budenbach,4,56281,Dörth,50.158027,7.581527
Escher Straße,29,56729,Kirchwald,50.37075,7.15442
Ohlenfeldstraße,2,56154,Boppard,50.2152,7.54117
Schloßstraße,60,22041,Hamburg,53.570958,10.071046
Forellenweg,25-29,72116,Mössingen,48.3858291,9.1007818
Steinen Esch,1,48231,Warendorf,51.977092,7.898016004
Haagenerstr,2,79539,Lörrach,47.614697,7.661501003
Lörracherstr.,1,79541,Lörrach,47.63446,7.692574297
Heisterfeld,7,25489,Haselau,53.660497,9.627219004
Wettringenerstr,1,48612,Metelen,52.1451386,7.219083904
Hauptstraße,5,79199,Kirchzarten,47.96462,7.954725003
Zum Erlenbusch,3,51709,Marienheide,51.09118,7.493300003
Gummersbacher Straße,107,51709,Marienheide,51.058037,7.551913003
Auf der Vogelruthe,19,51709,Marienheide,51.069894,7.578826003
Schemmen,2,51709,Marienheide,51.066583,7.559415003
Klosterstr,23,51709,Marienheide ,51.087065,7.533828003
Heinrich-Heine-Ring,142B,18435,Stralsund,54.32083,13.0574701
Tröndlinring,,4105,Leipzig,51.3444423,12.3724487
Hermann lamprecht Straße ,5,27442,Gnarrenburg ,53.3841766,9.0032418
Hindenburgstraße,1B,27442,Gnarrenburg,53.3745949,9.00800355
Hindenburgstr ,59,27442,Gnarrenburg ,53.38031465,9.0040697
Schenefelder Str.,1,25596,Wacken,54.019934,9.376781
Babelsberger Straße,14,14473,Potsdam,52.3926236,13.0668019
Breitestraße ,20,78234,Engen ,47.8559491,8.77536995
Hiroshimaplatz,1-Apr,37083,Göttingen,51.52846,9.94018
Weender Landstraße,21,37073,Göttingen,51.5412154,9.9327946
Am Markt,11,23730,Neustadt in Holstein,54.10762,10.8136515
Dr.-Wilhelm-Külz-Straße,35,6526,Sangerhausen,51.4782658,11.2993199
Hauptstraße,57-59,6295,Lutherstadt Eisleben,51.50776,11.57152
Markt,1,6295,Lutherstadt Eisleben,51.5281418,11.5455704
Hamefelddamm,1-May,41460,Neuss ,51.192948,6.70896745
Berliner Allee,38-44,22850,Norderstedt,53.6846316,9.98627
Karl-Fischer-Straße,13,6295,Lutherstadt Eisleben,51.5304,11.55698
Seminarstraße,10,25436,Uetersen,53.6869762,9.6555086
Tennstedt,1,6526,Sangerhausen,51.4748,11.30668
Dr.-Wilhelm-Külz-Straße,35,6526,Sangerhausen,51.4782658,11.2993199
Markt,1,6295,Lutherstadt Eisleben,51.5281418,11.5455704
Hauptstraße,46,6295,Lutherstadt Eisleben,51.50764,11.57119
Breiter Weg ,105,6295,Lutherstadt Eisleben,51.52892,11.54009
Krankenhausstraße,1,9526,Olbernhau,50.65416967,13.34781581
Auf der Leer,10,64807,Dieburg,49.89799,8.83199
Herstallstraße,26,63739,Aschaffenburg,49.9755506,9.1474231
Ludwigstraße,2-Apr,63739,Aschaffenburg,49.96732,9.20985
Rathausplatz,1,64846,Groß-Zimmern,49.873695,8.8333304
Angelgartenstraße,64B,64846,Groß-Zimmern,49.8750902,8.8194414
Am Festplatz,1,64846,Groß-Zimmern,49.87488,8.81971
A8,,85649,Brunnthal,47.99811301,11.67551813
Brauereiweg,7,27751,Delmenhorst,52.9354504,8.3807889
Freudental,19A,25746,Heide,54.20078745,9.07792475
Dorfstraße,32,25795,Stelle-Wittenwurth,54.2568121,9.0663626
Dückerstieg,7,25554,Neuendorf-Sachsenbande,53.9474534,9.3495487
Fasanenweg ,3,23746,Kellenhusen (Ostsee),54.1949888,11.05945005
Esmarchstraße ,50,25746,Heide,54.19919185,9.0812314
Auedamm,3,21640,Horneburg,53.5076594,9.5839163
Kabelkamp,3,30179,Hannover,52.412228,9.7316348
,,76437,Rastatt,48.8571115,8.2079087
Birkenstraße,1,82131,Gauting,48.0788254,11.3762185
Auf dem Bruche,3,31832,Springe,52.20194602,9.55966356
Alte Chaussee,9,25541,Brunsbüttel,53.89462,9.15945
Dorfstraße,2,82131,Gauting,48.06646,11.32487
Hauptstraße,23,25488,Holm,53.6192377,9.6740818
Anna-Zammert-Straße,27,30171,Hannover,52.36586,9.7632308
Lindenallee,86,27612,Loxstedt,53.48584,8.68686
Brummerackerweg,6,25499,Tangstedt,53.67665242,9.848002726
Plöner Straße,1,23714,Malente,54.1636962,10.5475663
Dudenstraße,23,68167,Mannheim,49.49861095,8.50390445
Hempbergstraße,1,25462,Rellingen,53.62975,9.8689098
August-Kuhn-Straße,33,68167,Mannheim,49.50165515,8.4799834
Spreewaldallee,44-50,68309,Mannheim,49.515697,8.556517997
Auf dem Sand,78,68309,Mannheim,49.51528965,8.50935835
Hugo-Wolf-Straße,3,68165,Mannheim,49.47708765,8.48715005
Meldorfer Straße,43,25770,Hemmingstedt,54.1558252,9.0781403
Medorfer Straße ,12,25770,Hemmingstedt,54.14674205,9.0717932
Thomas Mann Platz,18,9112,Chemnitz,50.8453125,12.9386798
Pinnauallee,3,25436,Uetersen,53.68029,9.67923
Holtenauer Straße,183,24118,Kiel,54.3446364,10.1328232
Bayrutherstr ,39,91338,Ig,49.62470585,11.24008285
Dorfstraße,32,25795,Stelle-Wittenwurth,54.2559792,9.0666134
Bleichstrasse,14,74821,Mosbach,49.353,9.14225
Am Burggraben,1,25361,Krempe,53.83482,9.49459
Ludwig-Thoma-Straße,3A,49377,Vechta,52.7408666,8.2856832
Hindenburgstraße,30,28717,Bremen,53.16817,8.69085
Ernst-August-Platz,1,30159,Hannover,52.3765267,9.7410381
Blumenstraße,18,66497,Contwig,49.24400185,7.427259398
Papierweg ,2,79400,Kandern,47.7118956,7.65902635
Rosenkopfer Straße,28,66894,Bechhofen,49.3471401,7.4123901
Steinstraße ,2,23845,Bühnsdorf,53.88809886,10.3730759
Georg-Kerschensteiner-Straße,27,23554,Lübeck,53.88298496,10.675649
Untermarkt ,4,82418,Murnau,47.67791577,11.20072
Brakeler Wald ,18,45239,Essen,46.43449124,-122.7828303
Maybachstraße,2,25980,Sylt,49.60636343,8.987936597
Fünfhausen ,1,23611,Bad Schwartau ,53.92065527,10.6903017
Wilhelmstraße,7,25980,Sylt,54.907898,8.308444996
Weststraße, 72-74,59227,Ahlen,51.76330889,7.888396996
Am Oxer,40,24955,Harrislee,54.794152,9.369195
Friedrichstraße ,18,25980,Sylt,54.907785,8.304255996
Eduard-Rhein-Ufer,1,22087,Hamburg,53.56785995,10.015464
Neustädter Passage,17,6122,Halle (Saale),51.47946189,11.92048
Löwenstraße ,58,20251,Hamburg,53.58723395,9.973801896
Merkurring,111,22143,Hamburg,53.60744795,10.191487
Pastor-Fuchs-Straße,14,66687,Wadern,49.48562872,6.838495897
Löwenstraße ,58,20251,Hamburg,51.117027,10.333652
Wolgaster Straße,63,17489,Greifswald,54.091972,13.417766
Rheinlandstraße,84,73312,Geislingen an der Steige,48.6277928,9.823238
Martinistrasse,78,20251,Hamburg,53.5883764,9.9726238
Friedrich-Ebert-Strasse,25,25421,Pinneberg,53.6621352,9.8002277
Gehrstücken,3,25421,Pinneberg,53.64744,9.82209
Hauptstrasse,60,25462,Rellingen,53.65143,9.83016
Bergmannring,4,22119,Hamburg,53.55649,10.102
Vale farm,1,HA0,Wembley,51.54847329,-0.309276404
Airbus-Strasse,2,21684,Stade,53.5718174,9.5075076
Steinbacherstr ,9,36088,Hünfeld ,50.70825086,9.773481997
Bahnhofstraße ,1a,67126,Hochdorf-Assenheim,49.41357472,8.273451997
Scharnhagener Straße ,6,24229,Dänischenhagen ,54.3020188,9.9358142
Von Opel Straße ,8,79761,Waldshut,47.62511246,8.254739997
Hauptstr.,34,71154,Nufringen,48.6231504,8.892369397
Öjendorfer Weg,4,22111,Hamburg,53.53961,10.10921
